iter	RMSE
0	688.9960255
1	678.4735382
2	668.9913942
3	660.7076947
4	653.5852707
5	646.819161
6	640.8311057
7	635.5086568
8	630.836425
9	626.7348443
10	623.08447
11	619.8591303
12	616.898291
13	614.2874064
14	611.9900814
15	609.9549953
16	608.1393096
17	606.4665012
18	605.0934223
19	603.8957004
20	602.741643
21	601.6867299
22	600.8014088
23	599.9696548
24	599.2149938
25	598.4874563
26	597.8204165
27	597.2950311
28	596.8220035
29	596.3799969
30	596.0234757
31	595.6966157
32	595.3860367
33	595.0865486
34	594.848905
35	594.5655732
36	594.2160558
37	593.9350173
38	593.7327264
39	593.5478573
40	593.2797916
41	593.1347979
42	592.9792385
43	592.8636726
44	592.6371453
45	592.452631
46	592.3433338
47	592.2534392
48	592.1572424
49	592.0555928
50	591.9725773
51	591.8222822
52	591.703437
53	591.5612159
54	591.4977278
55	591.3610724
56	591.2433491
57	591.1525083
58	591.0882494
59	590.9375561
60	590.8599927
61	590.7088172
62	590.6277536
63	590.5663763
64	590.4199466
65	590.3145238
66	590.2204789
67	590.1489156
68	590.0912111
69	589.8740791
70	589.7939801
71	589.5579351
72	589.4044459
73	589.3396163
74	589.2997718
75	589.2291053
76	589.1838786
77	589.1090616
78	589.0494045
79	588.713497
80	588.6315425
81	588.5612835
82	588.4348948
83	588.3540337
84	588.2527979
85	588.1044939
86	588.0556557
87	588.0052875
88	587.8056664
89	587.7485434
90	587.6839973
91	587.5881707
92	587.4941006
93	587.3176032
94	587.1859409
95	587.109978
96	587.0310055
97	586.9048796
98	586.8052302
99	586.619582
100	586.5740003
101	586.4066852
102	586.3489717
103	586.2079861
104	586.0123368
105	585.897522
106	585.84262
107	585.734528
108	585.6893084
109	585.6430985
110	585.5889336
111	585.5075696
112	585.3740532
113	585.2336163
114	585.1934192
115	585.1048642
116	585.0390661
117	585.0007684
118	584.9408638
119	584.9001177
120	584.8192994
121	584.6079617
122	584.5062806
123	584.3674509
124	584.2799166
125	584.119116
126	584.0131577
127	583.908597
128	583.8110623
129	583.664315
130	583.5069918
131	583.4441914
132	583.2066053
133	583.0731581
134	583.0242826
135	582.9666821
136	582.7889823
137	582.6579788
138	582.5922381
139	582.4463889
140	582.357505
141	582.2778145
142	582.1604971
143	582.1117583
144	581.978743
145	581.853397
146	581.7728286
147	581.7061822
148	581.6448647
149	581.5648841
150	581.5261781
151	581.3644643
152	581.2036712
153	581.161848
154	581.0650948
155	580.9565682
156	580.9181364
157	580.8298116
158	580.6730364
159	580.6215463
160	580.5596995
161	580.4332543
162	580.1439033
163	580.0590578
164	580.0111459
165	579.9178451
166	579.8179922
167	579.695833
168	579.5981817
169	579.4034171
170	579.2701072
171	579.1694524
172	579.1076447
173	579.0200314
174	578.7310116
175	578.5590247
176	578.3383762
177	578.2404448
178	578.1812923
179	578.0311772
180	577.9534222
181	577.8792175
182	577.7709385
183	577.6961382
184	577.5479059
185	577.4715827
186	577.3484073
187	577.2646446
188	577.1788565
189	577.0514964
190	576.9544732
191	576.8880667
192	576.8292149
193	576.6823337
194	576.5805214
195	576.5039151
196	576.3834481
197	576.1923613
198	576.0524395
199	575.9519331
200	575.8695416
201	575.8095212
202	575.6998894
203	575.5913948
204	575.5420432
205	575.5060246
206	575.4044792
207	575.2193875
208	575.1534588
209	574.9695839
210	574.8814095
211	574.7595326
212	574.6865172
213	574.6437081
214	574.5982105
215	574.4625055
216	574.365934
217	574.3260501
218	574.1710397
219	574.0492047
220	573.9948376
221	573.8666555
222	573.7747899
223	573.6420967
224	573.5584309
225	573.5024039
226	573.3834344
227	573.2134644
228	573.0943369
229	572.9448382
230	572.8508111
231	572.7385857
232	572.6628456
233	572.5028849
234	572.4725285
235	572.4022718
236	572.2737824
237	572.2066469
238	572.0619998
239	571.8845026
240	571.7542929
241	571.632216
242	571.539529
243	571.3979785
244	571.2922949
245	571.1582948
246	571.1027534
247	570.7904712
248	570.7134986
249	570.62947
250	570.5683542
251	570.5257521
252	570.3936097
253	570.2273417
254	570.1605171
255	570.1022463
256	569.802969
257	569.7428933
258	569.6950121
259	569.6492509
260	569.5588489
261	569.4068117
262	569.2749847
263	569.1327712
264	569.0994611
265	569.0351405
266	568.96061
267	568.8756354
268	568.8042878
269	568.6850907
270	568.6041317
271	568.5079801
272	568.4597319
273	568.1750065
274	568.1078384
275	568.0784349
276	567.9459036
277	567.8573764
278	567.8288057
279	567.7523451
280	567.6826731
281	567.6442425
282	567.5107134
283	567.4591378
284	567.4137535
285	567.303429
286	567.1879441
287	567.0938657
288	566.9428807
289	566.8932739
290	566.8204342
291	566.7623411
292	566.6569444
293	566.5162488
294	566.4346524
295	566.4077034
296	566.3076384
297	566.2382129
298	566.0487592
299	565.8713926
300	565.8213284
301	565.7953319
302	565.7406586
303	565.6125502
304	565.4526304
305	565.3619442
306	565.2081069
307	565.1357149
308	564.9934789
309	564.8454247
310	564.7029463
311	564.588639
312	564.503723
313	564.4753788
314	564.421205
315	564.2839352
316	564.2145561
317	564.1876947
318	564.0566223
319	563.9782498
320	563.9285569
321	563.739731
322	563.715013
323	563.5826175
324	563.4445831
325	563.4074481
326	563.2762338
327	563.2094483
328	563.1132279
329	562.9859632
330	562.9218957
331	562.8105108
332	562.6867658
333	562.5037711
334	562.4685473
335	562.3445242
336	562.1624505
337	562.0979557
338	561.9948191
339	561.942386
340	561.8236805
341	561.734128
342	561.5645863
343	561.3953459
344	561.3546359
345	561.2353487
346	561.2037563
347	561.0592754
348	561.0088135
349	560.8912669
350	560.840785
351	560.7569368
352	560.6416724
353	560.5709796
354	560.3958879
355	560.227582
356	560.0575561
357	559.8981425
358	559.8311903
359	559.7459301
360	559.5814468
361	559.4744405
362	559.3391351
363	559.2892999
364	559.2288747
365	559.1671248
366	559.06351
367	558.9469305
368	558.8261217
369	558.7902745
370	558.7547277
371	558.6205505
372	558.5138521
373	558.4395611
374	558.2402715
375	558.1433032
376	558.1093372
377	557.9830948
378	557.8245203
379	557.7448972
380	557.7027908
381	557.4389041
382	557.4060205
383	557.3120283
384	557.1901896
385	557.0956358
386	557.0039356
387	556.8882625
388	556.8614008
389	556.8295634
390	556.7004078
391	556.6426998
392	556.5366273
393	556.4902444
394	556.452018
395	556.343569
396	556.1940618
397	556.1019162
398	555.9996794
399	555.9272104
400	555.8704932
401	555.7734937
402	555.6494577
403	555.5004533
404	555.4576262
405	555.3850891
406	555.2459963
407	555.1583345
408	555.1019053
409	555.015134
410	554.956736
411	554.9037319
412	554.85408
413	554.7680867
414	554.6843088
415	554.6416491
416	554.5653181
417	554.4962516
418	554.4278604
419	554.3378211
420	554.2818117
421	554.1993446
422	554.0413351
423	553.9666545
424	553.8874484
425	553.8624158
426	553.7256611
427	553.6640183
428	553.5896648
429	553.5047973
430	553.4021983
431	553.3304895
432	553.2722119
433	553.2487372
434	553.1629326
435	553.0824876
436	553.0050469
437	552.9627867
438	552.8176936
439	552.7771304
440	552.7189365
441	552.6545898
442	552.6173863
443	552.5764653
444	552.4930757
445	552.4098626
446	552.2479829
447	552.1092386
448	551.9690342
449	551.8656744
450	551.7094447
451	551.6138227
452	551.5819945
453	551.5325155
454	551.4697162
455	551.4284026
456	551.3633322
457	551.293524
458	551.1343538
459	551.0549007
460	551.0242784
461	550.9521533
462	550.8961513
463	550.7789757
464	550.725554
465	550.6609709
466	550.5462356
467	550.4965819
468	550.3430384
469	550.2650632
470	550.1906161
471	550.0867327
472	549.9256826
473	549.8095339
474	549.7168596
475	549.5542522
476	549.4647536
477	549.3079114
478	549.1822663
479	549.1443313
480	549.0096598
481	548.9100932
482	548.8228625
483	548.7284768
484	548.6547289
485	548.5536147
486	548.456414
487	548.4055474
488	548.3196215
489	548.2358889
490	548.1499128
491	547.9345132
492	547.7903854
493	547.6566506
494	547.5031832
495	547.4132558
496	547.3791339
497	547.3018547
498	547.2157649
499	547.1254656
500	547.0592426
501	546.9103864
502	546.8459381
503	546.7785633
504	546.749655
505	546.557899
506	546.4313828
507	546.3882088
508	546.3328253
509	546.2596856
510	546.1793619
511	546.1203852
512	546.0590723
513	545.9812793
514	545.8988708
515	545.8281229
516	545.7801896
517	545.7488656
518	545.6170909
519	545.6007473
520	545.5662491
521	545.4758547
522	545.4530171
523	545.3041074
524	545.2341972
525	545.1638181
526	545.1299065
527	545.0653877
528	544.9275797
529	544.8511325
530	544.7420235
531	544.6150953
532	544.5385432
533	544.3602564
534	544.287508
535	544.2350189
536	544.1911377
537	544.1400587
538	544.0575487
539	543.9822693
540	543.8862043
541	543.7792898
542	543.7547739
543	543.6903131
544	543.617151
545	543.4831417
546	543.3792647
547	543.3222726
548	543.2133988
549	543.1091641
550	543.006713
551	542.9044468
552	542.8520547
553	542.8049678
554	542.7106967
555	542.5457702
556	542.4973959
557	542.4351255
558	542.3816681
559	542.3296653
560	542.288527
561	542.2623309
562	542.2058229
563	542.048495
564	542.0173019
565	541.9232782
566	541.8857269
567	541.8208572
568	541.7604992
569	541.6272277
570	541.5930893
571	541.5402742
572	541.406308
573	541.3518141
574	541.2269535
575	541.1653908
576	541.0646883
577	540.9625053
578	540.9029099
579	540.8344052
580	540.8043052
581	540.7522789
582	540.7232309
583	540.675571
584	540.621481
585	540.5913886
586	540.466976
587	540.4006839
588	540.3379666
589	540.2908262
590	540.1908716
591	540.1534358
592	540.1167071
593	540.0719017
594	540.0299715
595	540.008031
596	539.9518293
597	539.8237927
598	539.7943157
599	539.6559679
600	539.5559332
601	539.4819626
602	539.4322744
603	539.3249218
604	539.2708724
605	539.1868868
606	539.1345995
607	539.0806851
608	539.007957
609	538.9542338
610	538.8957223
611	538.8044678
612	538.7901816
613	538.7146025
614	538.6533023
615	538.550375
616	538.4997274
617	538.4726111
618	538.3819292
619	538.2885564
620	538.1735935
621	538.0620633
622	537.9015592
623	537.8227912
624	537.7950919
625	537.6843233
626	537.6007718
627	537.5386457
628	537.5158143
629	537.456304
630	537.3804794
631	537.2624972
632	537.1468771
633	537.0974425
634	536.9738625
635	536.919062
636	536.8663844
637	536.8059953
638	536.6996397
639	536.5495969
640	536.5066694
641	536.4489876
642	536.3621581
643	536.3120488
644	536.2008075
645	536.1517654
646	536.0803982
647	535.9949313
648	535.9317065
649	535.8774179
650	535.8319745
651	535.765856
652	535.718187
653	535.6318877
654	535.5278562
655	535.4601358
656	535.2934467
657	535.2169526
658	535.0586771
659	534.9550771
660	534.9118239
661	534.8070233
662	534.7196307
663	534.5760045
664	534.5302538
665	534.5022534
666	534.4623577
667	534.44281
668	534.3858422
669	534.3247296
670	534.2446755
671	534.2045838
672	534.1262167
673	534.0776706
674	533.9345157
675	533.8532414
676	533.7391767
677	533.6733708
678	533.5927784
679	533.4760289
680	533.4139952
681	533.3986369
682	533.3339784
683	533.253252
684	533.157228
685	533.0150869
686	532.9853522
687	532.8885262
688	532.7633859
689	532.6866909
690	532.643482
691	532.5557076
692	532.5459596
693	532.5250699
694	532.4446516
695	532.376089
696	532.2939681
697	532.1898992
698	532.1445691
699	532.0784192
700	532.0441155
701	531.9700898
702	531.9191445
703	531.8772418
704	531.8378858
705	531.7611563
706	531.6861901
707	531.6222265
708	531.5868375
709	531.5112711
710	531.4264675
711	531.4064464
712	531.3158225
713	531.2583851
714	531.1686942
715	531.0838973
716	530.9665739
717	530.9041081
718	530.8534083
719	530.77731
720	530.7488492
721	530.6882787
722	530.6014411
723	530.5611059
724	530.5033598
725	530.4716229
726	530.3393052
727	530.2381071
728	530.2048733
729	530.0709617
730	529.975348
731	529.8503248
732	529.7120604
733	529.6262924
734	529.5376791
735	529.3628232
736	529.2790243
737	529.1945177
738	529.1745295
739	529.0947634
740	529.0695655
741	529.0184919
742	528.9521739
743	528.8670519
744	528.8254458
745	528.7468989
746	528.6958566
747	528.6518692
748	528.5745464
749	528.5202312
750	528.3876054
751	528.334079
752	528.2868849
753	528.2575366
754	528.2216831
755	528.1972799
756	528.1274422
757	528.0697562
758	528.0249789
759	527.9632342
760	527.9274003
761	527.9034114
762	527.8623105
763	527.8418126
764	527.782613
765	527.7261678
766	527.6798748
767	527.577241
768	527.4960833
769	527.3658552
770	527.3154807
771	527.2548576
772	527.2054485
773	527.1638149
774	527.1309448
775	527.064857
776	526.9907797
777	526.8942841
778	526.7766326
779	526.6985428
780	526.6361737
781	526.5625308
782	526.5339025
783	526.462045
784	526.4207607
785	526.327434
786	526.2707575
787	526.2489031
788	526.1714045
789	526.1309045
790	526.0747816
791	525.9115587
792	525.8313601
793	525.7751279
794	525.6991606
795	525.6262481
796	525.5536405
797	525.5081834
798	525.4944004
799	525.4681649
800	525.4316906
801	525.3646286
802	525.2963679
803	525.2259062
804	525.1834171
805	525.0948103
806	525.0219654
807	524.9921468
808	524.9443955
809	524.8969315
810	524.8379587
811	524.7900039
812	524.7559866
813	524.7283117
814	524.6607097
815	524.6197052
816	524.6035519
817	524.5860219
818	524.5490715
819	524.4799708
820	524.4318752
821	524.3978812
822	524.3552703
823	524.3098854
824	524.2780644
825	524.2030263
826	524.1331
827	524.1200647
828	524.0857167
829	524.0515331
830	524.0262591
831	524.0138706
832	523.9641502
833	523.9468204
834	523.9082524
835	523.8884189
836	523.8230823
837	523.8021215
838	523.7382874
839	523.7082878
840	523.6544987
841	523.5956994
842	523.5411596
843	523.4780562
844	523.361044
845	523.3227647
846	523.2632627
847	523.245083
848	523.2309953
849	523.2028175
850	523.0866291
851	523.060746
852	522.9337548
853	522.8980885
854	522.8634128
855	522.8373903
856	522.8028799
857	522.7483431
858	522.6637404
859	522.6103118
860	522.5282303
861	522.4800501
862	522.4552658
863	522.4253688
864	522.3865864
865	522.3065189
866	522.2772835
867	522.2589607
868	522.205154
869	522.0895284
870	522.0719234
871	522.0319604
872	521.9819944
873	521.8966111
874	521.8393885
875	521.7349014
876	521.6714731
877	521.6450407
878	521.583763
879	521.5543849
880	521.4500786
881	521.4191587
882	521.3076983
883	521.1888531
884	521.0747225
885	521.0316723
886	520.9696835
887	520.8728133
888	520.8397451
889	520.7790631
890	520.7513332
891	520.7052095
892	520.6449779
893	520.6162306
894	520.5718299
895	520.5499804
896	520.5329484
897	520.5067747
898	520.4128
899	520.3300493
900	520.2696137
901	520.1961059
902	520.1526673
903	520.1214699
904	520.0807805
905	520.0228608
906	519.9589152
907	519.8578893
908	519.7421496
909	519.6192337
910	519.5429702
911	519.4894675
912	519.4647132
913	519.3145284
914	519.2978984
915	519.224055
916	519.165496
917	519.0738948
918	519.0159563
919	518.9861137
920	518.9373305
921	518.8238515
922	518.8010297
923	518.706945
924	518.6202315
925	518.5822586
926	518.5416127
927	518.4000811
928	518.3846895
929	518.3287315
930	518.2396481
931	518.106313
932	518.0780775
933	517.9905734
