iter	Passed	Remaining
0	163	815703
1	174	436955
2	185	309154
3	195	243995
4	205	205511
5	216	179846
6	226	161350
7	235	146805
8	244	135639
9	254	127059
10	264	120124
11	274	114077
12	283	108818
13	292	104176
14	302	100485
15	308	96008
16	317	93174
17	327	90573
18	336	88325
19	346	86315
20	356	84410
21	370	83811
22	380	82289
23	389	80757
24	398	79397
25	407	78037
26	417	76922
27	427	75857
28	436	74855
29	446	73937
30	455	73013
31	465	72208
32	474	71411
33	483	70649
34	496	70459
35	507	69915
36	516	69293
37	525	68662
38	535	68054
39	544	67537
40	553	66994
41	563	66514
42	572	66005
43	581	65493
44	590	65047
45	599	64570
46	608	64176
47	618	63777
48	627	63446
49	637	63096
50	647	62820
51	656	62504
52	666	62183
53	675	61852
54	684	61547
55	693	61218
56	702	60930
57	712	60676
58	721	60409
59	730	60153
60	739	59911
61	749	59696
62	758	59443
63	767	59225
64	777	59026
65	786	58815
66	796	58609
67	805	58424
68	814	58196
69	823	58009
70	832	57805
71	841	57603
72	850	57431
73	859	57231
74	868	57027
75	877	56869
76	886	56692
77	895	56523
78	904	56367
79	914	56231
80	923	56072
81	933	55958
82	941	55801
83	951	55658
84	960	55527
85	969	55369
86	978	55240
87	987	55107
88	996	54968
89	1005	54839
90	1014	54726
91	1023	54585
92	1032	54498
93	1041	54377
94	1051	54284
95	1060	54169
96	1070	54089
97	1079	53975
98	1088	53882
99	1097	53788
100	1106	53693
101	1115	53582
102	1125	53496
103	1134	53397
104	1143	53295
105	1152	53193
106	1161	53093
107	1170	52998
108	1179	52919
109	1188	52813
110	1197	52726
111	1206	52636
112	1215	52554
113	1224	52463
114	1232	52365
115	1241	52274
116	1250	52200
117	1260	52131
118	1268	52033
119	1277	51964
120	1286	51885
121	1295	51800
122	1304	51734
123	1314	51670
124	1322	51593
125	1332	51530
126	1350	51811
127	1366	51994
128	1376	51962
129	1385	51908
130	1394	51838
131	1404	51783
132	1413	51729
133	1423	51677
134	1432	51621
135	1441	51559
136	1450	51493
137	1460	51443
138	1468	51372
139	1478	51320
140	1487	51251
141	1496	51195
142	1505	51144
143	1515	51093
144	1524	51031
145	1533	50985
146	1542	50928
147	1552	50884
148	1561	50832
149	1570	50784
150	1579	50721
151	1588	50660
152	1597	50603
153	1606	50553
154	1616	50515
155	1624	50457
156	1634	50405
157	1642	50350
158	1652	50304
159	1661	50247
160	1669	50191
161	1678	50138
162	1687	50080
163	1696	50028
